Date,Exchange_Rate,Inflation_YoY
2005-01-31,4040.532258064516,5.12
2005-02-28,4037.3571428571427,5.35
2005-03-31,4029.7741935483873,5.09
2005-04-30,4037.383333333333,6.15
2005-05-31,4080.4032258064517,6.67
2005-06-30,4116.883333333333,7.61
2005-07-31,4176.435483870968,4.58
2005-08-31,4170.177419354839,4.94
2005-09-30,4201.133333333333,5.78
2005-10-31,4208.741935483871,8.01
2005-11-30,4179.133333333333,8.4
2005-12-31,4127.967741935484,8.41
2006-01-31,4097.709677419355,8.35
2006-02-28,4089.7678571428573,8.16
2006-03-31,4096.5,7.83
2006-04-30,4092.4333333333334,6.33
2006-05-31,4113.048387096775,6.42
2006-06-30,4119.466666666666,4.78
2006-07-31,4127.096774193548,6.24
2006-08-31,4147.5,6.39
2006-09-30,4175.316666666667,5.51
2006-10-31,4183.951612903225,5.21
2006-11-30,4131.15,4.72
2006-12-31,4064.483870967742,4.2
2007-01-31,4068.2419354838707,4.28
2007-02-28,4064.714285714286,4.38
2007-03-31,4059.5,5.39
2007-04-30,4061.9,5.17
2007-05-31,4080.8064516129034,4.49
2007-06-30,4093.8333333333335,7.55
2007-07-31,4094.564516129032,7.69
2007-08-31,4093.3548387096776,6.97
2007-09-30,4086.8333333333335,8.51
2007-10-31,4069.45,11.19
2007-11-30,4022.810344827586,11.86
2007-12-31,4004.7903225806454,13.95
2008-01-31,3999.35,16.78
2008-02-29,3996.464285714286,18.17
2008-03-31,3996.4,26.76
2008-05-31,4028.766666666667,35.57
2008-06-30,4119.724137931034,32.35
2008-07-31,4145.95,30.56
2008-08-31,4130.616666666667,29.2
2008-09-30,4129.35,26.44
2008-10-31,4134.322580645161,22.43
2008-11-30,4095.9,18.37
2008-12-31,4068.6612903225805,12.52
2009-01-31,4123.435483870968,8.01
2009-02-28,4129.214285714285,6.19
2009-03-31,4114.725806451613,-0.67
2009-04-30,4110.333333333333,-3.95
2009-05-31,4142.806451612903,-5.68
2009-06-30,4163.966666666666,-4.86
2009-07-31,4213.774193548387,-3.94
2009-08-31,4192.967741935484,-2.92
2009-09-30,4181.0,-2.32
2009-10-31,4195.790322580645,-1.57
2009-11-30,4181.15,1.27
2009-12-31,4168.633333333333,5.32
2010-01-31,4187.451612903225,6.92
2010-02-28,4192.267857142857,7.31
2010-03-31,4192.193548387097,6.65
2010-04-30,4198.116666666667,5.3
2010-05-31,4235.951612903225,4.46
2010-06-30,4255.916666666667,2.58
2010-07-31,4261.612903225807,1.62
2010-08-31,4258.774193548387,1.75
2010-09-30,4251.3,1.93
2010-10-31,4240.032258064516,3.69
2010-11-30,4094.35,3.21
2010-12-31,4059.516129032258,3.14
2011-01-31,4051.3225806451615,3.31
2011-02-28,4041.339285714286,3.79
2011-03-31,4031.5967741935483,3.8
2011-04-30,4016.0333333333333,5.24
2011-05-31,4081.1290322580644,6.49
2011-06-30,4108.482758620689,7.06
2011-07-31,4108.693548387097,7.1
2011-08-31,4096.112903225807,6.37
2011-09-30,4087.15,6.68
2011-10-31,4103.3387096774195,5.25
2011-11-30,4053.1666666666665,5.67
2011-12-31,4038.935483870968,4.91
2012-01-31,4068.0833333333335,5.77
2012-02-29,4035.6428571428573,5.42
2012-03-31,4006.3064516129034,5.35
2012-04-30,4016.8793103448274,4.78
2012-05-31,4063.116666666667,2.19
2012-06-30,4100.8448275862065,1.83
2012-07-31,4090.7166666666667,1.28
2012-08-31,4064.733333333333,2.18
2012-09-30,4059.2413793103447,1.44
2012-10-31,4034.516129032258,1.2
2012-11-30,4000.9666666666667,1.62
2012-12-31,3994.6129032258063,2.54
2013-01-31,3986.1612903225805,1.83
2013-02-28,3986.5,1.73
2013-03-31,3984.935483870968,0.98
2013-04-30,4013.9333333333334,1.02
2013-05-31,4082.064516129032,2.82
2013-06-30,4087.8333333333335,2.92
2013-07-31,4090.2580645161293,3.96
2013-08-31,4097.258064516129,3.3
2013-09-30,4085.733333333333,3.74
2013-10-31,4069.2903225806454,4.18
2013-11-30,4004.9333333333334,4.12
2013-12-31,4000.0,4.65
2014-01-31,4002.2580645161293,4.55
2014-02-28,3986.3571428571427,4.3
