Date,CPI,YoY_Inflation,MoM_Inflation,Exchange_Rate_KHR_USD,Total_Imports_USD
2015-01-01,156.61,0.41,-0.43,4066.1935483870966,702215.34953
2015-02-01,158.44,1.57,1.17,4050.1428571428573,785599.99954
2015-03-01,158.58,1.12,0.09,4021.2903225806454,792214.6695900001
2015-04-01,159.65,1.27,0.67,4033.9333333333334,800527.7795200001
2015-05-01,159.77,1.02,0.08,4078.935483870968,849568.55397
2015-06-01,160.11,0.7,0.21,4091.4666666666667,948951.98232
2015-07-01,160.98,0.8,0.54,4101.129032258064,1027620.62855
2015-08-01,161.45,0.8,0.29,4106.225806451613,979885.74604
2015-09-01,161.96,0.94,0.32,4097.0,899450.73306
2015-10-01,161.83,1.28,-0.08,4071.2258064516127,838909.7547299999
2015-11-01,161.5,1.92,-0.2,4044.9333333333334,908557.90329
2015-12-01,161.77,2.85,0.17,4052.064516129032,1054204.65729
2016-01-01,161.39,3.05,-0.24,4046.2258064516127,952082.90092
2016-02-01,162.1,2.31,0.44,4025.7586206896553,873619.5264099999
2016-03-01,161.8,2.03,-0.19,4004.2258064516127,1032295.90675
2016-04-01,164.13,2.8,1.44,4031.7,1022979.65593
2016-05-01,164.71,3.09,0.36,4070.8387096774195,1064392.28172
2016-06-01,165.32,3.25,0.37,4084.8333333333335,1021942.81891
2016-07-01,165.88,3.04,0.34,4090.7096774193546,1055163.90043
2016-08-01,166.18,2.93,0.18,4099.903225806452,998016.19023
2016-09-01,166.64,2.89,0.28,4097.966666666666,989390.08307
2016-10-01,167.25,3.35,0.37,4077.8709677419356,1016280.7319
2016-11-01,167.32,3.61,0.04,4034.4,1056135.01995
2016-12-01,168.03,3.87,0.42,4042.3870967741937,1162337.18931
2017-01-01,168.52,4.42,0.29,4045.451612903226,1097771.99581
2017-02-01,168.64,4.04,0.07,4023.035714285714,967056.58746
2017-03-01,168.65,4.24,0.0,4000.516129032258,1249041.33194
2017-04-01,169.4,3.21,0.44,4018.0333333333333,1157196.66867
2017-05-01,169.07,2.65,-0.19,4051.8064516129034,1250634.81421
2017-06-01,169.19,2.34,0.07,4083.5333333333333,1191336.47865
2017-07-01,169.74,2.32,0.32,4093.548387096774,1228734.43434
2017-08-01,170.5,2.6,0.45,4093.2580645161293,1181301.55521
2017-09-01,171.08,2.66,0.34,4063.5666666666666,1127390.81336
2017-10-01,170.77,2.1,-0.18,4054.967741935484,1185357.16922
2017-11-01,171.09,2.25,0.19,4041.133333333333,1319114.42201
2017-12-01,171.78,2.23,0.4,4041.2903225806454,1265214.92621
2018-01-01,171.89,2.0,0.06,4028.9032258064517,1218458.1159899998
2018-02-01,172.52,2.3,0.36,4021.4285714285716,1290675.858
2018-03-01,172.58,2.33,0.04,4008.451612903226,1252274.64188
2018-04-01,173.44,2.38,0.5,4025.233333333333,1304420.75238
2018-05-01,173.91,2.86,0.27,4065.4193548387098,1564894.35202
2018-06-01,174.16,2.94,0.14,4072.1,1524510.19931
2018-07-01,173.69,2.33,-0.27,4062.7741935483873,1447778.72961
2018-08-01,174.89,2.58,0.69,4075.032258064516,1638029.16123
2018-09-01,175.48,2.57,0.33,4094.366666666667,1425028.818
2018-10-01,176.02,3.07,0.31,4079.516129032258,1479463.04917
2018-11-01,175.41,2.52,-0.34,4048.633333333333,1502386.55711
2018-12-01,174.59,1.63,-0.47,4034.5806451612902,1617002.928
2019-01-01,174.54,1.54,-0.02,4020.7741935483873,1585959.97376
2019-02-01,175.99,2.01,0.83,4017.8214285714284,1290754.74511
2019-03-01,176.45,2.24,0.26,4014.032258064516,1565951.86517
2019-04-01,177.02,2.07,0.33,4036.8333333333335,1662062.61988
2019-05-01,177.36,1.98,0.19,4061.8387096774195,1995909.79934
2019-06-01,176.67,1.44,-0.39,4075.5333333333333,1710529.08651
2019-07-01,177.47,2.17,0.45,4082.7741935483873,1823173.43768
2019-08-01,178.5,2.06,0.58,4087.3225806451615,1769054.93124
2019-09-01,178.45,1.69,-0.03,4101.966666666666,1507368.5142100002
2019-10-01,178.25,1.27,-0.11,4083.8064516129034,1753888.32058
2019-11-01,178.5,1.76,0.14,4073.766666666667,1715482.6337
2019-12-01,179.95,3.07,0.82,4080.1290322580644,1791676.4475699998
2020-01-01,180.8,3.58,0.47,4091.451612903226,1919638.28685
2020-02-01,180.65,2.65,-0.08,4092.689655172414,1543016.89632
2020-03-01,181.46,2.84,0.45,4070.0967741935483,1604465.4293
2020-04-01,180.41,1.91,-0.58,4086.9,1449074.65191
2020-05-01,181.56,2.37,0.64,4117.677419354839,1333444.98105
2020-06-01,182.36,3.22,0.44,4100.1,1399806.38018
2020-07-01,183.01,3.13,0.36,4103.645161290323,1414749.73127
2020-08-01,182.79,2.4,-0.12,4105.548387096775,1359483.31635
2020-09-01,183.56,2.86,0.42,4108.966666666666,1580835.37158
2020-10-01,184.91,3.73,0.74,4104.548387096775,1534948.71737
2020-11-01,185.1,3.7,0.1,4072.5,1791292.0783799998
2020-12-01,185.13,2.88,0.01,4062.2258064516127,2169272.39658
2021-01-01,185.49,2.6,0.2,4074.2903225806454,2353273.83547
2021-02-01,183.78,1.73,-0.92,4087.6071428571427,2312332.33872
2021-03-01,185.23,2.08,0.79,4073.8709677419356,2848607.95273
2021-04-01,185.36,2.74,0.07,4072.866666666667,2010544.2969
2021-05-01,186.98,2.99,0.88,4098.709677419355,2242616.88331
2021-06-01,187.36,2.74,0.2,4107.0,2408623.41366
2021-07-01,189.11,3.33,0.93,4109.4838709677415,2335621.48326
2021-08-01,189.0,3.4,-0.05,4119.387096774193,1892175.49575
2021-09-01,189.0,2.96,0.0,4122.1,2217926.32321
2021-10-01,190.36,2.95,0.72,4108.774193548387,2438107.7333
2021-11-01,192.12,3.79,0.92,4103.7,2350892.47982
2021-12-01,191.98,3.7,-0.07,4111.612903225807,3292167.42139
2022-01-01,193.06,4.08,0.57,4105.419354838709,3077784.12595
2022-02-01,195.41,6.33,1.22,4092.964285714286,2079911.00737
2022-03-01,198.56,7.19,1.61,4066.064516129032,2288223.16246
2022-04-01,198.8,7.25,0.12,4070.0333333333333,2597383.93265
2022-05-01,200.39,7.17,0.8,4092.548387096774,3013739.03607
2022-06-01,202.06,7.85,0.84,4092.266666666667,2807679.40598
2022-07-01,199.28,5.38,-1.38,4098.258064516129,3186610.4503699997
2022-08-01,198.35,4.94,-0.47,4103.387096774193,2712689.18486
2022-09-01,197.39,4.44,-0.48,4116.166666666667,2000242.29998
2022-10-01,197.28,3.64,-0.06,4134.419354838709,2053465.18725
2022-11-01,198.28,3.21,0.51,4139.0,1929342.05378
2022-12-01,197.48,2.86,-0.41,4116.8387096774195,2194531.78205
2023-01-01,198.78,2.96,0.66,4115.677419354839,1922330.63403
2023-02-01,199.71,2.2,0.47,4081.285714285714,1640171.25218
2023-03-01,199.96,0.7,0.12,4056.7096774193546,2297629.2601
2023-04-01,200.93,1.07,0.49,4074.8,2066787.45121
2023-05-01,201.34,0.48,0.2,4117.741935483871,2182162.47709
2023-06-01,202.14,0.07,0.4,4124.366666666667,2120099.85243
2023-07-01,203.02,1.88,0.44,4129.419354838709,1946096.86366
2023-08-01,204.76,3.24,0.86,4141.580645161291,2104749.56769
2023-09-01,204.8,3.75,0.02,4130.633333333333,1955082.06759
2023-10-01,204.95,3.89,0.07,4131.451612903225,1858304.12303
2023-11-01,203.62,2.69,-0.65,4120.6,1931241.9557
2023-12-01,202.84,2.72,-0.38,4106.032258064516,2176856.25203
