Date,CPI_all_item,MoM_Change_CPI_all_item,YoY_Change_CPI_all_item,Three_Month_Avg_YoY,Twelve_Month_Avg_YoY,Year,Month,Month_Name
2005-01-22,87.98,0.14,5.12,5.28,4.32,2005,1,Jan
2005-02-22,88.39,0.47,5.35,5.25,4.71,2005,2,Feb
2005-03-22,88.63,0.27,5.09,5.19,5.08,2005,3,Mar
2005-04-22,90.26,1.83,6.15,5.53,5.48,2005,4,Apr
2005-05-22,91.01,0.84,6.67,5.97,5.86,2005,5,May
2005-06-22,92.85,2.02,7.61,6.81,6.2,2005,6,Jun
2005-07-22,93.15,0.33,4.58,6.27,6.02,2005,7,Jul
2005-08-22,94.33,1.26,4.94,5.69,5.82,2005,8,Aug
2005-09-22,95.74,1.49,5.78,5.11,5.64,2005,9,Sep
2005-10-22,95.72,-0.01,8.01,6.24,5.84,2005,10,Oct
2005-11-22,95.53,-0.21,8.4,7.38,6.09,2005,11,Nov
2005-12-22,95.25,-0.29,8.41,8.27,6.35,2005,12,Dec
2006-01-22,95.32,0.08,8.35,8.39,6.62,2006,1,Jan
2006-02-22,95.61,0.3,8.16,8.31,6.85,2006,2,Feb
2006-03-22,95.57,-0.03,7.83,8.11,7.07,2006,3,Mar
2006-04-22,95.97,0.42,6.33,7.43,7.08,2006,4,Apr
2006-05-22,96.86,0.92,6.42,6.86,7.06,2006,5,May
2006-06-22,97.29,0.44,4.78,5.84,6.82,2006,6,Jun
2006-07-22,98.97,1.73,6.24,5.81,6.95,2006,7,Jul
2006-08-22,100.36,1.4,6.39,5.81,7.07,2006,8,Aug
2006-09-22,101.01,0.65,5.51,6.05,7.04,2006,9,Sep
2006-10-22,100.71,-0.3,5.21,5.7,6.8,2006,10,Oct
2006-11-22,100.04,-0.67,4.72,5.15,6.49,2006,11,Nov
2006-12-22,99.25,-0.79,4.2,4.71,6.14,2006,12,Dec
2007-01-22,99.41,0.16,4.28,4.4,5.81,2007,1,Jan
2007-02-22,99.79,0.39,4.38,4.29,5.5,2007,2,Feb
2007-03-22,100.72,0.93,5.39,4.68,5.31,2007,3,Mar
2007-04-22,100.93,0.21,5.17,4.98,5.22,2007,4,Apr
2007-05-22,101.21,0.27,4.49,5.01,5.06,2007,5,May
2007-06-22,104.64,3.39,7.55,5.74,5.29,2007,6,Jun
2007-07-22,106.58,1.85,7.69,6.58,5.42,2007,7,Jul
2007-08-22,107.36,0.73,6.97,7.4,5.48,2007,8,Aug
2007-09-22,109.6,2.09,8.51,7.72,5.74,2007,9,Sep
2007-10-22,111.98,2.17,11.19,8.89,6.25,2007,10,Oct
2007-11-22,111.91,-0.07,11.86,10.52,6.86,2007,11,Nov
2007-12-22,113.1,1.06,13.95,12.33,7.67,2007,12,Dec
2008-01-22,116.09,2.65,16.78,14.19,8.71,2008,1,Jan
2008-02-22,117.93,1.58,18.17,16.31,9.85,2008,2,Feb
2008-03-22,127.68,8.27,26.76,20.6,11.64,2008,3,Mar
2008-04-22,133.34,4.43,32.1,25.71,13.89,2008,4,Apr
2008-05-22,137.21,2.9,35.57,31.49,16.48,2008,5,May
2008-06-22,138.49,0.93,32.35,33.33,18.58,2008,6,Jun
2008-07-22,139.15,0.48,30.56,32.79,20.51,2008,7,Jul
2008-08-22,138.71,-0.32,29.2,30.69,22.39,2008,8,Aug
2008-09-22,138.58,-0.09,26.44,28.71,23.89,2008,9,Sep
2008-10-22,137.1,-1.07,22.43,25.98,24.79,2008,10,Oct
2008-11-22,132.46,-3.38,18.37,22.39,25.25,2008,11,Nov
2008-12-22,127.26,-3.93,12.52,17.76,25.0,2008,12,Dec
2009-01-22,125.38,-1.47,8.01,12.9,24.1,2009,1,Jan
2009-02-22,125.22,-0.13,6.19,8.86,22.93,2009,2,Feb
2009-03-22,126.83,1.28,-0.67,4.35,20.37,2009,3,Mar
2009-04-22,128.07,0.98,-3.95,0.31,17.12,2009,4,Apr
2009-05-22,129.42,1.05,-5.68,-3.49,13.54,2009,5,May
2009-06-22,131.75,1.81,-4.86,-4.84,10.39,2009,6,Jun
2009-07-22,133.67,1.45,-3.94,-4.82,7.56,2009,7,Jul
