date,total_export_usd,total_import_usd,trade_balance,trade_ratio,total_trade
2015-01-01,691813.9920600001,702215.34953,-10401.35746999993,0.9851877953437479,1394029.34159
2015-02-01,522931.74188,785599.99954,-262668.25766,0.6656463113368092,1308531.7414199999
2015-03-01,526926.92383,792214.6695900001,-265287.7457600001,0.6651314903102007,1319141.59342
2015-04-01,502114.13565999997,800527.7795200001,-298413.6438600001,0.6272288713841633,1302641.91518
2015-05-01,629742.0394,849568.55397,-219826.51457,0.7412492334576657,1479310.59337
2015-06-01,806479.64326,948951.98232,-142472.3390599999,0.8498634897082114,1755431.62558
2015-07-01,926159.86661,1027620.6285499999,-101460.76193999988,0.901266324243448,1953780.49516
2015-08-01,900825.5060200001,979885.74604,-79060.24001999991,0.9193168791979013,1880711.25206
2015-09-01,742367.6303300001,899450.73306,-157083.10272999993,0.8253566349369784,1641818.36339
2015-10-01,742563.91829,838909.7547299999,-96345.83643999998,0.8851535151465624,1581473.6730199999
2015-11-01,692254.65194,908557.90329,-216303.25135000004,0.7619268397019724,1600812.55523
2015-12-01,823133.19755,1054204.65729,-231071.45973999996,0.7808096766200923,1877337.8548400002
2016-01-01,831249.2937800001,952082.90092,-120833.60713999998,0.8730849939398784,1783332.1947
2016-02-01,737559.28626,873619.5264099999,-136060.24014999997,0.8442568692241601,1611178.81267
2016-03-01,731583.21421,1032295.9067500001,-300712.6925400001,0.7086952582358479,1763879.12096
2016-04-01,697678.2788099999,1022979.65593,-325301.3771200001,0.6820060152376485,1720657.93474
2016-05-01,729158.0063700001,1064392.2817199999,-335234.2753499998,0.6850463113014316,1793550.28809
2016-06-01,938591.3238399999,1021942.8189099999,-83351.49507000006,0.9184382007215409,1960534.1427499996
2016-07-01,1096449.48796,1055163.90043,41285.587530000135,1.0391271796857109,2151613.38839
2016-08-01,925530.0970399999,998016.1902300001,-72486.09319000016,0.9273698223539889,1923546.28727
2016-09-01,862479.47937,989390.0830699999,-126910.60369999998,0.8717284457650856,1851869.56244
2016-10-01,676554.45767,1016280.7319,-339726.27423,0.6657161121269508,1692835.18957
2016-11-01,756429.17339,1056135.01995,-299705.8465600001,0.7162239288550541,1812564.1933400002
2016-12-01,946035.1711800001,1162337.18931,-216302.01812999998,0.8139076852058708,2108372.36049
2017-01-01,804394.0134800001,1097771.99581,-293377.9823299999,0.7327514425128612,1902166.00929
2017-02-01,819589.8447499999,967056.5874600001,-147466.74271000014,0.8475097066477512,1786646.43221
2017-03-01,917101.03141,1249041.33194,-331940.3005299999,0.7342439421004322,2166142.36335
2017-04-01,712656.77089,1157196.66867,-444539.89778,0.6158475825108253,1869853.43956
2017-05-01,804312.6285,1250634.81421,-446322.18571,0.6431234916549701,2054947.44271
2017-06-01,1076572.04808,1191336.47865,-114764.43056999985,0.9036674922436282,2267908.52673
2017-07-01,1105175.4784000001,1228734.43434,-123558.95593999978,0.8994420987262655,2333909.91274
2017-08-01,1093902.34576,1181301.55521,-87399.20944999997,0.9260144803293152,2275203.90097
2017-09-01,1083458.2979300001,1127390.81336,-43932.51542999991,0.9610316893579554,2210849.1112900004
2017-10-01,907676.57224,1185357.16922,-277680.59698000003,0.7657409899813387,2093033.7414600002
2017-11-01,796640.99283,1319114.4220099999,-522473.42917999986,0.6039210697250347,2115755.4148399998
2017-12-01,1100053.8514100001,1265214.92621,-165161.07479999983,0.869460064548285,2365268.77762
2018-01-01,944566.99376,1218458.1159899998,-273891.12222999986,0.7752149879953298,2163025.10975
2018-02-01,874666.96006,1290675.858,-416008.89794000005,0.6776813517031013,2165342.81806
2018-03-01,1033527.26406,1252274.64188,-218747.37782000005,0.8253199653619101,2285801.90594
2018-04-01,758912.15311,1304420.75238,-545508.59927,0.5818001221809112,2063332.9054899998
2018-05-01,992601.56966,1564894.35202,-572292.7823600001,0.6342930232821967,2557495.92168
2018-06-01,1260269.7144,1524510.19931,-264240.4849100001,0.8266718812182454,2784779.91371
2018-07-01,1173361.44285,1447778.72961,-274417.28676000005,0.8104563348337614,2621140.17246
2018-08-01,1349867.65059,1638029.16123,-288161.51064,0.824080353719943,2987896.81182
2018-09-01,1128325.2094,1425028.818,-296703.6085999999,0.7917911519737421,2553354.0274
2018-10-01,884349.4216400001,1479463.04917,-595113.6275299999,0.5977502595527024,2363812.47081
2018-11-01,1104155.10471,1502386.55711,-398231.45239999983,0.734934095013443,2606541.66182
2018-12-01,1124205.1314,1617002.928,-492797.7966,0.6952400097323758,2741208.0594
2019-01-01,1071561.9582500001,1585959.97376,-514398.0155099998,0.6756551085646487,2657521.93201
2019-02-01,992377.7957700001,1290754.74511,-298376.94933999993,0.7688352876714997,2283132.54088
2019-03-01,1155579.61574,1565951.8651700001,-410372.2494300001,0.7379407001214242,2721531.4809100004
2019-04-01,866340.3245,1662062.61988,-795722.2953799999,0.5212440940176787,2528402.94438
2019-05-01,1192918.5978,1995909.7993400001,-802991.20154,0.5976816177737441,3188828.39714
2019-06-01,1411644.1813400001,1710529.08651,-298884.9051699999,0.8252675692409206,3122173.2678500004
2019-07-01,1532690.22077,1823173.43768,-290483.21690999996,0.8406716492756489,3355863.65845
