Date,CPI_all_item,MoM_Change_CPI_all_item,YoY_Change_CPI_all_item,Three_Month_Avg_YoY,Twelve_Month_Avg_YoY
22/01/2005,87.98,0.14,5.12,5.28,4.32
22/02/2005,88.39,0.47,5.35,5.25,4.71
22/03/2005,88.63,0.27,5.09,5.19,5.08
22/04/2005,90.26,1.83,6.15,5.53,5.48
22/05/2005,91.01,0.84,6.67,5.97,5.86
22/06/2005,92.85,2.02,7.61,6.81,6.2
22/07/2005,93.15,0.33,4.58,6.27,6.02
22/08/2005,94.33,1.26,4.94,5.69,5.82
22/09/2005,95.74,1.49,5.78,5.11,5.64
22/10/2005,95.72,-0.01,8.01,6.24,5.84
22/11/2005,95.53,-0.21,8.4,7.38,6.09
22/12/2005,95.25,-0.29,8.41,8.27,6.35
22/01/2006,95.32,0.08,8.35,8.39,6.62
22/02/2006,95.61,0.3,8.16,8.31,6.85
22/03/2006,95.57,-0.03,7.83,8.11,7.07
22/04/2006,95.97,0.42,6.33,7.43,7.08
22/05/2006,96.86,0.92,6.42,6.86,7.06
22/06/2006,97.29,0.44,4.78,5.84,6.82
22/07/2006,98.97,1.73,6.24,5.81,6.95
22/08/2006,100.36,1.4,6.39,5.81,7.07
22/09/2006,101.01,0.65,5.51,6.05,7.04
22/10/2006,100.71,-0.3,5.21,5.7,6.8
22/11/2006,100.04,-0.67,4.72,5.15,6.49
22/12/2006,99.25,-0.79,4.2,4.71,6.14
22/01/2007,99.41,0.16,4.28,4.4,5.81
22/02/2007,99.79,0.39,4.38,4.29,5.5
22/03/2007,100.72,0.93,5.39,4.68,5.31
22/04/2007,100.93,0.21,5.17,4.98,5.22
22/05/2007,101.21,0.27,4.49,5.01,5.06
22/06/2007,104.64,3.39,7.55,5.74,5.29
22/07/2007,106.58,1.85,7.69,6.58,5.42
22/08/2007,107.36,0.73,6.97,7.4,5.48
22/09/2007,109.6,2.09,8.51,7.72,5.74
22/10/2007,111.98,2.17,11.19,8.89,6.25
22/11/2007,111.91,-0.07,11.86,10.52,6.86
22/12/2007,113.1,1.06,13.95,12.33,7.67
22/01/2008,116.09,2.65,16.78,14.19,8.71
22/02/2008,117.93,1.58,18.17,16.31,9.85
22/03/2008,127.68,8.27,26.76,20.6,11.64
22/04/2008,133.34,4.43,32.1,25.71,13.89
22/05/2008,137.21,2.9,35.57,31.49,16.48
22/06/2008,138.49,0.93,32.35,33.33,18.58
22/07/2008,139.15,0.48,30.56,32.79,20.51
22/08/2008,138.71,-0.32,29.2,30.69,22.39
22/09/2008,138.58,-0.09,26.44,28.71,23.89
22/10/2008,137.1,-1.07,22.43,25.98,24.79
22/11/2008,132.46,-3.38,18.37,22.39,25.25
22/12/2008,127.26,-3.93,12.52,17.76,25
22/01/2009,125.38,-1.47,8.01,12.9,24.1
22/02/2009,125.22,-0.13,6.19,8.86,22.93
22/03/2009,126.83,1.28,-0.67,4.35,20.37
22/04/2009,128.07,0.98,-3.95,0.31,17.12
22/05/2009,129.42,1.05,-5.68,-3.49,13.54
22/06/2009,131.75,1.81,-4.86,-4.84,10.39
22/07/2009,133.67,1.45,-3.94,-4.82,7.56
22/08/2009,134.66,0.74,-2.92,-3.91,5.03
22/09/2009,135.37,0.53,-2.32,-3.06,2.82
22/10/2009,134.95,-0.31,-1.57,-2.27,1.02
22/11/2009,134.15,-0.59,1.27,-0.9,-0.2
22/12/2009,134.03,-0.09,5.32,1.59,-0.66
22/01/2010,134.06,0.02,6.92,4.45,-0.7
22/02/2010,134.37,0.23,7.31,6.51,-0.58
22/03/2010,135.26,0.66,6.65,6.96,0
22/04/2010,134.87,-0.29,5.3,6.41,0.76
22/05/2010,135.19,0.24,4.46,5.46,1.62
22/06/2010,135.15,-0.03,2.58,4.1,2.27
22/07/2010,135.84,0.51,1.62,2.87,2.76
22/08/2010,137.02,0.87,1.75,1.98,3.17
22/09/2010,137.99,0.71,1.93,1.77,3.55
22/10/2010,139.93,1.4,3.69,2.46,4.01
22/11/2010,138.46,-1.05,3.21,2.94,4.18
22/12/2010,138.25,-0.16,3.14,3.35,4
22/01/2011,138.5,0.19,3.31,3.22,3.71
22/02/2011,139.46,0.69,3.79,3.42,3.43
22/03/2011,140.41,0.67,3.8,3.64,3.21
22/04/2011,141.93,1.09,5.24,4.28,3.21
22/05/2011,143.97,1.43,6.49,5.18,3.38
22/06/2011,144.69,0.5,7.06,6.27,3.76
22/07/2011,145.49,0.55,7.1,6.88,4.22
22/08/2011,145.75,0.18,6.37,6.84,4.6
22/09/2011,147.21,1,6.68,6.72,5
22/10/2011,147.28,0.04,5.25,6.1,5.13
22/11/2011,146.32,-0.65,5.67,5.86,5.34
22/12/2011,145.03,-0.88,4.91,5.28,5.48
22/01/2012,146.5,1.01,5.77,5.45,5.68
22/02/2012,147.02,0.36,5.42,5.37,5.81
22/03/2012,147.92,0.61,5.35,5.51,5.94
22/04/2012,148.72,0.54,4.78,5.18,5.9
