year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,7,Jul,7,Edible vegetables and certain roots and tubers.,25765.75128
2025,7,Jul,8,Edible fruits and nuts; peel of citrus fruit or melons.,37534.99065
2025,7,Jul,10,Cereals.,90444.44371
2025,7,Jul,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",31454.60438
2025,7,Jul,39,Plastics and articles thereof.,38252.00062
2025,7,Jul,40,Rubber and articles thereof.,166852.1081
2025,7,Jul,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",200046.3314
2025,7,Jul,43,Furskins and artificial fur; manufactures thereof.,27460.96842
2025,7,Jul,44,Wood and articles of wood; wood charcoal.,44962.67976
2025,7,Jul,61,"Articles of apparel and clothing accessories, knitted or crocheted.",850418.8244
2025,7,Jul,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",327231.3647
2025,7,Jul,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,30344.63555
2025,7,Jul,64,"Footwear, gaiters and the like; parts of such articles.",183806.0233
2025,7,Jul,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",16648.86787
2025,7,Jul,74,Copper and articles thereof.,22915.51271
2025,7,Jul,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",26650.94844
2025,7,Jul,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",138803.7555
2025,7,Jul,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",69653.34228
2025,7,Jul,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",242109.1463
2025,7,Jul,95,"Toys, games and sports requisites; parts and accessories thereof.",118341.1924
2025,7,Jul,99,Others,181708.1098
2025,6,Jun,7,Edible vegetables and certain roots and tubers.,25039.68265
2025,6,Jun,8,Edible fruits and nuts; peel of citrus fruit or melons.,31483.83648
2025,6,Jun,10,Cereals.,38784.4974
2025,6,Jun,20,"Preparations of vegetables, fruit, nuts or other parts of plants.",15308.87889
2025,6,Jun,23,Residues and waste from the food industries; prepared animal fodder.,15170.80243
2025,6,Jun,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",30742.57463
2025,6,Jun,39,Plastics and articles thereof.,30646.10826
2025,6,Jun,40,Rubber and articles thereof.,145164.8627
2025,6,Jun,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",187549.6326
2025,6,Jun,43,Furskins and artificial fur; manufactures thereof.,17603.59302
2025,6,Jun,44,Wood and articles of wood; wood charcoal.,38522.87381
2025,6,Jun,61,"Articles of apparel and clothing accessories, knitted or crocheted.",746382.0896
2025,6,Jun,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",323660.5481
2025,6,Jun,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,24593.7722
2025,6,Jun,64,"Footwear, gaiters and the like; parts of such articles.",188322.911
2025,6,Jun,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",27506.03525
