year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,7,Jul,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",280199.5052
2025,7,Jul,30,Pharmaceutical products.,34723.79987
2025,7,Jul,31,Fertilisers.,44874.1576
2025,7,Jul,38,Miscellaneous chemical products.,41230.08622
2025,7,Jul,39,Plastics and articles thereof.,133201.6767
2025,7,Jul,40,Rubber and articles thereof.,48122.09295
2025,7,Jul,41,Raw hides and skins (other than furskins) and leather.,49277.89439
2025,7,Jul,43,Furskins and artificial fur; manufactures thereof.,50486.00145
2025,7,Jul,44,Wood and articles of wood; wood charcoal.,41617.30975
2025,7,Jul,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",73594.0341
2025,7,Jul,52,Cotton,66292.58017
2025,7,Jul,55,Man- made staple fibres.,105624.752
2025,7,Jul,60,Knitted or crocheted fabrics.,311931.4233
2025,7,Jul,72,Iron and steel.,71876.0871
2025,7,Jul,73,Articles of iron or steel.,125826.2595
2025,7,Jul,76,Aluminium and articles thereof,76992.4279
2025,7,Jul,83,Miscellaneous articles of base metal.,31848.91764
2025,7,Jul,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",234515.2681
2025,7,Jul,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",218493.107
2025,7,Jul,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",204330.141
2025,7,Jul,99,Others,635711.1158
2025,6,Jun,23,Residues and waste from the food industries; prepared animal fodder.,33739.94148
2025,6,Jun,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",270891.6036
2025,6,Jun,31,Fertilisers.,57069.82407
2025,6,Jun,38,Miscellaneous chemical products.,40859.36681
2025,6,Jun,39,Plastics and articles thereof.,124775.4705
2025,6,Jun,40,Rubber and articles thereof.,49733.14141
2025,6,Jun,41,Raw hides and skins (other than furskins) and leather.,38370.83212
2025,6,Jun,43,Furskins and artificial fur; manufactures thereof.,37697.5482
2025,6,Jun,44,Wood and articles of wood; wood charcoal.,38871.41182
2025,6,Jun,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",74189.74755
2025,6,Jun,52,Cotton,55675.34247
2025,6,Jun,55,Man- made staple fibres.,106049.4995
