Date,Purchase,Sale,Midpoint,Exchange_Rate,Spread_Market_day_X-1_over_OER_day_X_midpoint
1/4/2003,3950,3954,3952,3945,0
2/4/2003,3951,3956,3953.5,3945,0.18
3/4/2003,3951,3956,3953.5,3945,0.22
4/4/2003,3952,3957,3954.5,3945,0.22
5/4/2003,3952,3958,3955,3945,0.24
6/4/2003,3952,3958,3955,3945,0.25
7/4/2003,3952,3958,3955,3945,0.25
8/4/2003,3952,3958,3955,3945,0.25
9/4/2003,3952,3957,3954.5,3945,0.25
10/4/2003,3952,3957,3954.5,3945,0.24
11/4/2003,3951,3957,3954,3945,0.24
12/4/2003,3951,3958,3954.5,3945,0.23
13/4/2003,3951,3958,3954.5,3945,0.24
14/4/2003,3951,3958,3954.5,3945,0.24
15/4/2003,3951,3958,3954.5,3945,0.24
16/4/2003,3951,3958,3954.5,3945,0.24
17/4/2003,3951,3958,3954.5,3945,0.24
18/4/2003,3952,3959,3955.5,3945,0.24
19/4/2003,3951,3958,3954.5,3945,0.27
20/4/2003,3961,3969,3965,3945,0.24
21/4/2003,3963,3970,3966.5,3950,0.38
22/4/2003,3964,3970,3967,3950,0.42
23/4/2003,3970,3978,3974,3950,0.43
24/4/2003,3978,3986,3982,3955,0.48
25/4/2003,3991,3999,3995,3955,0.68
26/4/2003,3983,3993,3988,3955,1.01
27/4/2003,3970,3983,3976.5,3955,0.83
28/4/2003,3983,3991,3987,3960,0.42
29/4/2003,3991,4000,3995.5,3960,0.68
30/4/2003,3993,4003,3998,3960,0.9
1/5/2003,3985,3999,3992,3960,2.06
2/5/2003,3994,4001,3997.5,3960,0.81
3/5/2003,3994,4001,3997.5,3960,0.95
4/5/2003,3994,4001,3997.5,3960,0.95
5/5/2003,3995,4002,3998.5,3960,0.95
6/5/2003,3998,4006,4002,3965,0.84
7/5/2003,3998,4006,4002,3965,0.93
8/5/2003,3996,4003,3999.5,3965,0.93
9/5/2003,3997,4004,4000.5,3965,0.87
10/5/2003,3999,4005,4002,3965,0.9
