Commodity,Total_Value_USD,Percentage
"Articles of apparel and clothing accessories, knitted or crocheted.",64266722.7791,34.97
"Articles of apparel and clothing accessories, not knitted or crocheted.",19959540.91765,10.86
"Footwear, gaiters and the like; parts of such articles.",13111546.44734,7.13
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",11894958.45193,6.47
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",11676882.51398,6.35
Cereals.,9846458.99297,5.36
Others,7672442.57847,4.17
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",6096411.00668,3.32
Rubber and articles thereof.,5768351.19997,3.14
"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",5593784.95936,3.04
