Commodity,Total_Value_USD,Percentage
Others,44005034.4176,19.63
Knitted or crocheted fabrics.,27905815.6274,12.45
"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",24120188.52143,10.76
"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",18052253.054729998,8.05
"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",13358026.97677,5.96
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",12840996.605560001,5.73
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",12660294.03666,5.65
Man- made staple fibres.,11374117.19024,5.07
Plastics and articles thereof.,8964246.07755,4.0
Cotton,5843385.58173,2.61
